Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dean Henderson,eng ENG,GK,28-030,30,30,2700,30,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tyrick Mitchell,eng ENG,DF,25-222,30,30,2520,28,0,4,4,0,0,0,2,0,1.2,1.2,5.3,6.6,51,55,143,0,0.14,0.14,0,0.14,0.04,0.19,0.24,0.04,0.24,Matches
Marc Guéhi,eng ENG,DF,24-272,29,29,2609,29,3,2,5,3,0,0,9,1,1.7,1.7,1.1,2.8,17,119,8,0.1,0.07,0.17,0.1,0.17,0.06,0.04,0.1,0.06,0.1,Matches
Daniel Muñoz,co COL,DF,28-320,29,29,2508,27.9,4,4,8,4,0,0,7,0,4.2,4.2,3.8,8,42,68,166,0.14,0.14,0.29,0.14,0.29,0.15,0.14,0.29,0.15,0.29,Matches
Maxence Lacroix,fr FRA,DF,25-005,27,27,2424,26.9,1,1,2,1,0,0,4,0,2.8,2.8,0.4,3.2,8,54,6,0.04,0.04,0.07,0.04,0.07,0.11,0.01,0.12,0.11,0.12,Matches
Jean-Philippe Mateta,fr FRA,FW,27-287,29,27,2257,25.1,13,2,15,11,2,2,2,0,11.6,10,3,13,34,44,111,0.52,0.08,0.6,0.44,0.52,0.46,0.12,0.58,0.4,0.52,Matches
Eberechi Eze,eng ENG,"MF,FW",26-286,26,24,2095,23.3,2,8,10,2,0,0,1,0,6.4,6.4,4.7,11.1,62,83,135,0.09,0.34,0.43,0.09,0.43,0.27,0.2,0.48,0.27,0.48,Matches
Ismaila Sarr,sn SEN,MF,27-045,30,23,2110,23.4,7,3,10,7,0,0,3,0,7.8,7.8,6,13.8,59,68,153,0.3,0.13,0.43,0.3,0.43,0.33,0.26,0.59,0.33,0.59,Matches
Jefferson Lerma,co COL,"MF,DF",30-168,25,20,1721,19.1,0,1,1,0,0,0,5,0,0.9,0.9,1.5,2.4,10,80,24,0,0.05,0.05,0,0.05,0.05,0.08,0.13,0.05,0.13,Matches
Will Hughes,eng ENG,MF,29-359,25,19,1650,18.3,0,3,3,0,0,0,10,0,0.9,0.9,2.5,3.4,18,79,24,0,0.16,0.16,0,0.16,0.05,0.14,0.18,0.05,0.18,Matches
Chris Richards,us USA,DF,25-014,17,15,1338,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,5,33,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
Trevoh Chalobah,eng ENG,DF,25-280,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,Matches
Adam Wharton,eng ENG,MF,20-313,15,12,1009,11.2,0,0,0,0,0,0,2,0,0.3,0.3,2.3,2.5,11,98,10,0,0,0,0,0,0.02,0.2,0.23,0.02,0.23,Matches
Daichi Kamada,jp JPN,MF,28-249,26,11,1108,12.3,0,0,0,0,0,0,2,1,0.8,0.8,1.1,1.9,18,65,43,0,0,0,0,0,0.07,0.09,0.16,0.07,0.16,Matches
Eddie Nketiah,eng ENG,"FW,MF",25-316,22,7,750,8.3,1,1,2,1,0,0,5,1,3.5,3.5,1.5,5,32,15,61,0.12,0.12,0.24,0.12,0.24,0.42,0.18,0.6,0.42,0.6,Matches
Nathaniel Clyne,eng ENG,"DF,MF",34-006,12,5,455,5.1,0,0,0,0,0,0,1,0,0,0,0.3,0.3,6,7,8,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Cheick Doucouré,ml MLI,MF,25-093,13,4,452,5,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,2,19,7,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
Justin Devenny,nir NIR,MF,21-182,16,3,332,3.7,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.9,3,10,9,0.27,0,0.27,0.27,0.27,0.14,0.09,0.23,0.14,0.23,Matches
Odsonne Édouard,fr FRA,"MF,FW",27-085,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,2,4,7,0,0,0,0,0,0.31,0.04,0.34,0.31,0.34,Matches
Joachim Andersen,dk DEN,DF,28-315,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Chadi Riad,ma MAR,DF,21-298,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben Chilwell,eng ENG,DF,28-111,5,0,111,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,3,7,0,0,0,0,0,0.06,0.16,0.22,0.06,0.22,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",32-109,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
