season,player_club,player_name,games_played,minutes_played,live_ball_scas_p90,dead_ball_taken_p90,dead_ball_scas_p90,dead_ball_gcas_p90,dead_ball_sca_eff_p90,team_dead_ball_taken_pc,corner_taken_pc,free_kick_taken_pc,non_gk_dead_ball_pc,dead_ball_sc_pc,dead_ball_gc_pc,team_dead_ball_scas,team_dead_ball_gcas,team_dead_ball_sc_pc,taker_type,dead_ball_success_rate
2024,Arsenal,Declan Rice,25,2250,1.96,7.12,1.16,0.08,0.16292134831460672,0.17,0.428,0.245,0.17,0.453,0.2,64,10,0.086,Starter,0.156
2024,Arsenal,Bukayo Saka,14.4,1296,3.68,4.65,1.18,0.35,0.253763440860215,0.064,0.258,0.026,0.064,0.266,0.5,64,10,0.086,Starter,0.156
2024,Arsenal,Martin Ødegaard,20.2,1818,3.71,4.65,0.5,0.05,0.1075268817204301,0.09,0.186,0.103,0.09,0.156,0.1,64,10,0.086,Starter,0.156
2024,Aston Villa,Youri Tielemans,28.4,2556,2.01,6.09,1.06,0.11,0.17405582922824303,0.154,0.412,0.207,0.154,0.448,1,67,3,0.103,Starter,0.045
2024,Aston Villa,Lucas Digne,23.9,2151,1.51,9.87,0.71,0,0.071935157041540021,0.21,0.305,0.106,0.21,0.254,0,67,3,0.103,Starter,0.045
2024,Aston Villa,Marco Asensio,2.6,234,1.92,3.85,1.15,0,0.29870129870129869,0.009,0.048,0.003,0.009,0.045,0,67,3,0.103,Other,0.045
2024,Bournemouth,Lewis Cook,27.6,2484,2.28,7.17,0.58,0.04,0.0808926080892608,0.186,0.349,0.25,0.186,0.296,0.2,54,5,0.064,Starter,0.093
2024,Bournemouth,Marcus Tavernier,16.7,1503,3.41,6.29,0.72,0.18,0.11446740858505564,0.099,0.231,0.107,0.099,0.222,0.6,54,5,0.064,Starter,0.093
2024,Bournemouth,Justin Kluivert,21.5,1935,2.98,3.67,0.37,0,0.1008174386920981,0.074,0.161,0.028,0.074,0.148,0,54,5,0.064,Starter,0.093
2024,Bournemouth,Ryan Christie,23.5,2115,3.06,2.55,0.3,0.04,0.11764705882352941,0.056,0.14,0.083,0.056,0.13,0.2,54,5,0.064,Starter,0.093
2024,Brentford,Bryan Mbeumo,29.9,2691,2.74,3.91,0.5,0.07,0.12787723785166241,0.122,0.485,0.173,0.122,0.294,0.286,51,7,0.082,Starter,0.137
2024,Brentford,Mikkel Damsgaard,25,2250,3.08,4.28,0.44,0.12,0.102803738317757,0.111,0.331,0.099,0.111,0.216,0.429,51,7,0.082,Starter,0.137
2024,Brentford,Mathias Jensen,8.2,737.99999999999989,3.05,7.68,1.1,0.12,0.14322916666666669,0.065,0.096,0.052,0.065,0.176,0.143,51,7,0.082,Starter,0.137
2024,Brentford,Kevin Schade,18.5,1665,1.35,2.65,0.32,0,0.12075471698113208,0.051,0,0,0.051,0.118,0,51,7,0.082,Starter,0.137
2024,Brentford,Michael Kayode,0.4,36,2.5,17.5,5,0,0.2857142857142857,0.007,0,0,0.007,0.039,0,51,7,0.082,Other,0.137
